#PDB-name             KORP_energy
T0893D1_s455m2        -250.731815
T0893D1_s455m3        -300.584128
T0893D1_s455m4        -126.197470
T0893D1_s455m5        -410.684800
T0893D1_s464m2        -651.652935
T0893D1_s464m5        -468.225148
T0893D2              -3487.533947
T0893D2_s180m3       -1999.577856
T0893D2_s180m4       -2468.345827
T0893D2_s180m5       -1603.064487
T0893D2_s321m2       -1351.713022
T0893D2_s321m3       -1207.730614
T0893D2_s321m4       -1364.262609
T0893D2_s321m5       -1215.210073
T0893D2_s405m4       -3119.780005
T0893D2_s434m1       -1550.858829
T0893D2_s434m2       -1444.356952
T0893D2_s434m3       -1493.543797
T0893D2_s434m4       -1147.072898
T0893D2_s434m5       -1207.186189
T0893D2_s455m1       -1180.231098
T0893D2_s455m2        -973.779346
T0893D2_s455m3        -493.512888
T0893D2_s455m4        -997.778375
T0893D2_s455m5        -783.244646
T0893D2_s464m2       -1062.206828
T0893D2_s464m5       -1071.830381
T0898D2              -1086.136621
T0898D2_s079m1        -489.586352
T0898D2_s102m2        -544.206259
T0898D2_s180m3          27.508360
T0898D2_s236m3        -669.299455
T0898D2_s251m4        -334.315557
T0898D2_s251m5         -87.533669
T0898D2_s287m1        -498.352502
T0898D2_s321m1        -212.502857
T0898D2_s345m4        -499.944698
T0898D2_s359m2        -402.776656
T0898D2_s359m4        -289.081615
T0898D2_s420m3        -472.110044
T0898D2_s420m4        -529.022913
T0898D2_s425m2        -467.372931
T0898D2_s455m1        -259.339291
T0898D2_s455m2        -195.997076
T0898D2_s455m3         -98.250729
T0898D2_s455m4        -143.419728
T0898D2_s455m5        -335.957419
T0902D1              -3851.423328
T0902D1_s432m1       -2525.980301
T0902D1_s432m2       -2733.713386
T0902D1_s432m3       -2774.082489
T0902D1_s432m4       -2528.692056
T0902D1_s434m1       -1396.818028
T0902D1_s434m2       -1287.390614
T0902D1_s434m3       -1357.442014
T0902D1_s434m4       -1054.689144
T0902D1_s434m5       -1046.102490
T0902D1_s455m1        -629.521549
T0902D1_s455m2        -647.792893
T0902D1_s455m3       -1297.491299
T0902D1_s455m4        -677.664991
T0902D1_s464m2       -1264.226026
T0902D1_s464m5       -1571.387294
T0902D1_s467m3       -2041.845528
T0902D1_s467m4       -2211.462024
T0902D1_s467m5       -1823.124039
T0902D1_s479m1       -2752.949777
T0903D1              -8681.117817
T0903D1_s180m2       -5108.501423
T0903D1_s180m3       -4622.062006
T0903D1_s180m5       -5431.097940
T0903D1_s284m4       -5414.938634
T0903D1_s321m4       -3530.977881
T0903D1_s321m5       -3646.852476
T0903D1_s382m5       -4499.005195
T0903D1_s432m3       -6913.931129
T0903D1_s434m1       -4002.376457
T0903D1_s434m2       -4561.373271
T0903D1_s434m3       -4698.026166
T0903D1_s434m4       -4027.796151
T0903D1_s434m5       -4092.131541
T0903D1_s451m2       -4965.225798
T0903D1_s451m3       -5102.323286
T0903D1_s455m5       -1874.699240
T0903D1_s464m2       -3228.908798
T0903D1_s464m5       -4087.270048
T0903D1_s467m5       -4836.230211
T0903D1_s479m1       -8995.177184
T0912D1              -13573.490287
T0912D1_s067m1       -2265.204953
T0912D1_s079m4       -5116.707198
T0912D1_s102m4       -3844.203704
T0912D1_s180m5        -544.134947
T0912D1_s321m2       -2181.122153
T0912D1_s420m3       -3304.954919
T0912D1_s420m4       -4446.598219
T0912D1_s420m5       -2977.171828
T0912D1_s434m1       -2200.844290
T0912D1_s434m3       -1901.269676
T0912D1_s434m4       -1943.179529
T0912D1_s434m5       -2282.628769
T0912D1_s455m1       -1805.808063
T0912D1_s455m2       -1476.338712
T0912D1_s455m3       -1939.079623
T0912D1_s455m4       -1273.972872
T0912D1_s455m5       -2310.855834
T0912D1_s464m2       -2324.279463
T0912D1_s464m5       -1356.037246
T0912D1_s467m1       -4046.914378
T0920D1              -9541.845718
T0920D1_s119m1       -6489.920263
T0920D1_s180m1       -2006.504394
T0920D1_s180m2       -3304.530168
T0920D1_s180m3       -1330.427653
T0920D1_s180m4       -1813.252942
T0920D1_s180m5       -1731.141442
T0920D1_s321m2       -2732.889492
T0920D1_s321m5       -2478.322449
T0920D1_s432m1       -3644.840081
T0920D1_s434m1       -2282.666983
T0920D1_s434m2       -3213.586649
T0920D1_s434m3       -2548.978632
T0920D1_s434m4       -2483.894798
T0920D1_s434m5       -2605.440952
T0920D1_s451m3       -4435.339633
T0920D1_s455m1       -1562.173343
T0920D1_s455m2        -620.462881
T0920D1_s455m5       -1792.740896
T0920D1_s464m2       -2192.866290
T0920D1_s464m5       -2204.518679
T0921D1              -3364.718819
T0921D1_s180m1       -1500.475554
T0921D1_s180m3       -1203.930251
T0921D1_s180m5        -383.344382
T0921D1_s284m3       -1349.380147
T0921D1_s287m3       -2629.498856
T0921D1_s321m2       -1248.205496
T0921D1_s321m3       -1089.049092
T0921D1_s321m5       -1195.470523
T0921D1_s432m4       -1976.440019
T0921D1_s434m2        -954.330076
T0921D1_s434m3       -1021.992416
T0921D1_s434m4       -1135.552379
T0921D1_s434m5       -1134.959664
T0921D1_s455m1        -854.499897
T0921D1_s455m3       -1009.750703
T0921D1_s455m4        -693.063226
T0921D1_s455m5        -658.466037
T0921D1_s464m2       -1070.611132
T0921D1_s464m5        -769.806260
T0922D1              -1382.720616
T0922D1_s180m1        -601.024035
T0922D1_s180m5        -364.925190
T0922D1_s183m3        -841.693129
T0922D1_s284m5        -349.999502
T0922D1_s321m2        -722.722911
T0922D1_s321m3        -675.126197
T0922D1_s321m4        -613.814441
T0922D1_s359m4        -497.915387
T0922D1_s432m3       -1295.981335
T0922D1_s434m1        -574.158375
T0922D1_s434m5        -663.069216
T0922D1_s455m1        -360.812090
T0922D1_s455m2        -156.934051
T0922D1_s455m4        -304.345490
T0922D1_s455m5        -223.766903
T0922D1_s464m5        -533.617754
T0922D1_s467m2        -857.483126
T0922D1_s467m4        -923.381657
T0922D1_s467m5        -852.733028
T0942D2              -4878.661299
T0942D2_s179m1       -2637.211458
T0942D2_s180m2       -2930.603769
T0942D2_s180m3       -2944.305371
T0942D2_s180m5       -2714.165977
T0942D2_s183m1       -4198.487024
T0942D2_s251m5       -2659.252445
T0942D2_s321m4       -2611.400879
T0942D2_s321m5       -2302.292548
T0942D2_s359m3       -3101.267707
T0942D2_s434m1       -2319.139797
T0942D2_s434m2       -2019.461432
T0942D2_s434m3       -1889.448589
T0942D2_s434m4       -1876.591691
T0942D2_s434m5       -2443.156971
T0942D2_s464m2       -2079.899623
T0942D2_s464m5       -2278.168932
T0942D2_s467m1       -2628.640713
T0942D2_s467m2       -3040.522571
T0942D2_s467m4       -2886.265941
T0944D1              -4989.095376
T0944D1_s180m4       -1950.618056
T0944D1_s180m5        -994.341458
T0944D1_s320m4       -4047.527999
T0944D1_s321m1       -1936.106827
T0944D1_s321m3       -1831.072403
T0944D1_s321m5       -1609.678268
T0944D1_s432m1       -3245.101411
T0944D1_s432m5       -3289.732558
T0944D1_s434m1       -1736.966719
T0944D1_s434m2       -1854.905257
T0944D1_s434m3       -1435.382201
T0944D1_s434m4       -1462.121174
T0944D1_s434m5       -1956.142412
T0944D1_s455m1       -1314.176302
T0944D1_s455m2        -550.455918
T0944D1_s455m3       -1136.617299
T0944D1_s455m4        -643.602991
T0944D1_s455m5        -941.527888
T0944D1_s464m2       -1416.255036
T0944D1_s464m5       -1333.925291
T0947D1              -3149.579860
T0947D1_s079m3       -1825.575442
T0947D1_s321m4       -1621.006045
T0947D1_s321m5       -1443.270777
T0947D1_s434m1       -1305.068800
T0947D1_s434m3       -1352.349564
T0947D1_s434m4       -1048.363495
T0947D1_s434m5        -927.329572
T0947D1_s451m5       -1237.574882
T0947D1_s455m1       -1302.051170
T0947D1_s455m2       -1096.745693
T0947D1_s455m3        -766.865787
T0947D1_s455m4       -1052.398762
T0947D1_s455m5       -1114.934912
T0947D1_s464m2        -755.156116
T0947D1_s464m5       -1427.880862
T0947D1_s467m1       -1825.316173
T0947D1_s467m2       -1786.887658
T0947D1_s467m4       -1257.412221
T0947D1_s467m5       -1848.133403
